date,atlfed_as_of,meeting_date,target_rate_pct,target_bps,kalshi_bid,kalshi_ask,kalshi_mid_pct,atlfed_prob_pct,spread_pp,kalshi_oi,kalshi_vol_24h
2026-05-27,,2027-04-28,4.25,425,37.0,58.0,47.5,,,2024.14,14.0
2026-05-27,,2027-04-28,4.0,400,19.0,49.0,34.0,,,1851.15,54.0
2026-05-27,,2027-04-28,3.75,375,54.0,56.0,55.0,,,1479.4,29.0
2026-05-27,,2027-04-28,3.5,350,60.0,63.0,61.5,,,2519.69,29.13
2026-05-27,,2027-04-28,3.25,325,54.0,67.0,60.5,,,1753.69,1.0
2026-05-27,,2027-04-28,3.0,300,61.0,64.0,62.5,,,1084.28,23.58
2026-05-27,,2027-04-28,2.75,275,53.0,70.0,61.5,,,904.01,14.0
2026-05-27,,2027-04-28,2.5,250,17.0,89.0,53.0,,,722.34,5.0
2026-05-27,,2027-04-28,2.25,225,41.0,90.0,65.5,,,1025.1,10.0
2026-05-27,,2027-04-28,2.0,200,35.0,82.0,58.5,,,681.0,61.0
2026-05-27,,2027-04-28,1.75,175,37.0,96.0,66.5,,,570.94,19.0
2026-05-27,,2027-04-28,1.5,150,80.0,98.0,89.0,,,733.01,53.0
2026-05-27,,2027-04-28,1.25,125,70.0,98.0,84.0,,,512.43,33.0
2026-05-27,,2027-04-28,1.0,100,65.0,97.0,81.0,,,415.0,4.0
2026-05-27,,2027-04-28,0.75,75,72.0,98.0,85.0,,,935.0,1.0
2026-05-27,,2027-04-28,0.5,50,70.0,100.0,85.0,,,1108.0,0.0
2026-05-27,,2027-04-28,0.25,25,77.0,100.0,88.5,,,717.0,0.0
2026-05-27,,2027-04-28,0.0,0,85.0,100.0,92.5,,,878.0,0.0
2026-05-27,,2027-03-17,4.25,425,14.0,23.0,18.5,26.95,-8.45,843.25,6.0
2026-05-27,,2027-03-17,4.0,400,18.0,27.0,22.5,40.05,-17.55,290.0,0.0
2026-05-27,,2027-03-17,3.75,375,28.0,32.0,30.0,57.81,-27.81,336.0,0.0
2026-05-27,,2027-03-17,3.5,350,34.0,43.0,38.5,74.71,-36.21,337.0,1.0
2026-05-27,,2027-03-17,3.25,325,49.0,58.0,53.5,85.93,-32.43,489.0,0.0
2026-05-27,,2027-03-17,3.0,300,60.0,67.0,63.5,91.75,-28.25,259.01,1.0
2026-05-27,,2027-03-17,2.75,275,70.0,74.0,72.0,94.8,-22.8,288.0,0.0
2026-05-27,,2027-03-17,2.5,250,79.0,87.0,83.0,96.61,-13.61,137.0,0.0
